agent_id,name,email,account_no,archetype_name,risk_profile,risk_score,economic_class,financial_personality,employment_status,employment_verification,income_type,avg_monthly_income_range,income_pattern,savings_retention_rate,has_investment_activity,investment_types,has_loan_emi,loan_emi_payment_status,has_insurance_payments,insurance_types,utility_payment_status,mobile_plan_type,device_consistency_score,ip_consistency_score,sim_churn_rate,primary_digital_channels,login_pattern,ecommerce_activity_level,ecommerce_avg_ticket_size,monthly_allowance,loan_emi_amount,insurance_premium,utility_bill_amount,weekly_grocery_day,school_fee_months,occasional_spend_chance,shared_device_id,p2p_transfer_chance,social_support_chance,family_help_chance,children_expense_chance,festival_months,school_activity_months,salary_day,salary_amount,remittance_percentage,emi_percentage,investment_percentage,insurance_percentage,daily_spend_chance,professional_transfer_chance,extended_family_support_chance,emergency_help_chance,base_daily_payout,cod_settlement_chance,cod_balance,fuel_spend_chance,recharge_chance,agent_support_chance,family_remittance_chance,fuel_sharing_chance,vehicle_maintenance_sharing,last_family_remittance_date,daily_sales_chance,num_daily_sales,avg_sale_amount,num_employees,employee_salaries,vendor_payment_day,vendor_payment_amount,business_loan_emi_amount,owner_drawing_amount,rent_amount,inventory_restocking_amount,marketing_expense,bad_debt_chance,seasonal_down_months,emergency_expense_chance,suppliers,business_network,customer_network,business_p2p_chance,supplier_advance_chance,customer_refund_chance,business_networking_chance,allowance_amount,allowance_days,bnpl_chance,study_group,hostel_friends,study_group_transfer_chance,hostel_sharing_chance,exam_months,bnpl_repayments,daily_income_chance,avg_gig_payment,income_sources,rent_day,bill_payment_late_chance,prepaid_recharge_chance,client_network,peer_support_chance,client_advance_chance,daily_work_chance,daily_wage_amount,community_support_chance,last_remittance_day,utility_bill_percentage,ecommerce_spend_chance,weekday_spend_chance,weekend_spend_chance,annual_bonus_month,has_received_bonus_this_year,social_contacts,family_support_chance,social_transfer_chance,bonus_sharing_chance,has_shared_bonus_this_year,stock_investment_amount,crypto_investment_amount,saas_subscription_amount,is_traveling,travel_start_day,travel_duration,pension_day,monthly_income,monthly_pharmacy_day,large_event_month,has_done_large_event_this_year,grandchildren,children_network,grandchildren_gift_chance,emergency_family_support_chance,birthday_months,home_state,work_city,pay_cycle,weekly_wage,monthly_pay_day,weekly_pay_day,emergency_transfer_chance,last_remittance_date,payout_months,lump_sum_payment,has_large_cash_reserve,junior_retainer_fee,prof_indemnity_premium,spend_chance_mod,invest_chance_mod,client_refund_chance,retainer_payment_day,avg_monthly_income,platform_payout_chance,sponsorship_chance,has_sponsorship_funds,software_subscription,utility_bill_day,late_payment_chance,collaboration_payment_chance,freelancer_payment_chance,creator_support_chance,brand_advance_chance,last_collaboration_payment_date,monthly_freelancer_payment_day,consultation_chance,avg_consultation_fee,large_payout_chance,clinic_rent_amount,sip_amount,high_end_spend_chance,p2p_payment_chance,fraud_type,is_active,ring_id,device_id,ip_address,behavior_state,creation_date,bust_out_day_threshold,cash_out_threshold
74899150-c2f0-4f04-ab63-38f12f16b787,Chatura Saha,sarinwidisha@example.org,YYAL5842319520931,Homemaker,High,0.7012,Lower_Middle,Saver,Not_Applicable,Not_Applicable,Family_Support,9915-29746,Fixed_Date,Very_Low,False,[],False,ALWAYS_ON_TIME,True,['Child_Education_Plan'],ALWAYS_ON_TIME,Prepaid,0.62,0.98,Low,"['UPI', 'Mobile_Banking']",Infrequent,Medium,Medium,22488.7423080159,6746.62269240477,2248.87423080159,3373.311346202385,5.0,"[1, 4, 7, 10]",0.055999999999999994,,0.126,0.12,0.08,0.15,"[3, 10, 11]","[6, 12]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b03c06e3-b414-4407-ad8d-5de890f50a7e,Oeshi Varkey,routyutika@example.org,RUOT3745173069067,Police / Security Personnel,Very_Low,0.0748,Lower_Middle,Saver,Salaried,GOVT_Verified,Uniformed_Services_Salary,24481-40802,Fixed_Date,Medium,True,"['LIC', 'FD']",True,ALWAYS_ON_TIME,True,"['LIC', 'Government_Schemes']",ALWAYS_ON_TIME,Postpaid,0.97,0.79,Low,"['Mobile_Banking', 'UPI']",Shift_Work_Night_Activity,Low,Medium,,,,,,,,,,,,,,,1.0,24655.262778066288,0.36,0.2,0.12,0.08,0.42,0.08,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25bf0370-f946-4bd9-b213-58e5bbacb9d9,Raksha Patla,harinakshi63@example.net,VBOX7979118546731,Delivery Agent / Rider,High,0.7563,Lower_Middle,Over_Spender,Gig_Work_Contractor,Not_Verified,Platform_Payout,12742-21237,Daily,Very_Low,False,[],True,Mostly_On_Time,False,[],Mostly_On_Time,Prepaid,0.93,0.49,Medium,"['UPI', 'Wallets']",Geographically_Dynamic,Low,Low,,2548.4249999999997,,,,,,,0.30000000000000004,,,,,,,,,,,,,,,0.08,725.1188408901398,0.6,0.0,1.35,0.15000000000000002,0.15,0.12,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14272607-5d81-47eb-8539-63e0742c00c4,Gavin Mukherjee,kaurrishi@example.com,WVBC4424021569387,Small Business Owner,Medium,0.475,Middle,Rational_Investor,Self-Employed,Udyam_Registered,Business_Sales,55588-222353,Erratic_High_Volume,Low,True,['Business_Reinvestment'],False,Mostly_On_Time,True,['Business_Insurance'],Mostly_On_Time,Postpaid,0.82,0.93,Low,"['UPI_for_Business', 'Netbanking']",Structured_Daytime,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8071675204480124,16.0,236.47219744893124,2.0,"[15352.396925665471, 15752.644114993851]",16.0,49010.21672208562,11835.173093513706,19076.790262223636,9850.954451274463,28942.78295548853,3924.478677224448,0.05,"[10, 9]",0.03,[],[],[],0.12,0.06,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97b5628f-0d37-4e80-ace8-ba30093bba6f,Shravya Kaul,ronithghosh@example.com,XAUR8330214197957,Student,Very_High,0.8938,Lower_Middle,Over_Spender,Not_Applicable,Not_Applicable,Allowance,2492-8309,Irregular,Very_Low,False,[],False,N/A,False,[],N/A,Prepaid,0.72,0.5,Medium,"['UPI', 'Wallets']",Late_Night_Activity,High,Low,,,,,,,,,0.375,,,,"[3, 10, 11]",,,,,,,,1.125,,,0.08,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,3077.088772612587,"[13, 23]",0.15,[],[],0.15,0.18,"[4, 10, 11]",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425e75ab-4de0-42cb-8c59-18855d86b960,Umang Varughese,anamikaoak@example.net,OTYX1233468769290,Gig Worker / Freelancer,Medium,0.4208,Lower_Middle,Saver,Self-employed,Not_Verified,Gig_Work,6761-29581,Irregular,Low,True,"['FD', 'SIP', 'LIC']",False,Mostly_On_Time,False,[],Mostly_On_Time,Prepaid,0.67,0.66,Medium,"['UPI', 'Wallets']",Irregular,Medium,Low,,,,,,,,,0.105,,,,,,,,,,,,0.5599999999999999,,,0.08,,,,,,,,,,,,,,,,,,,,5499.0922006471965,,,,,,,,,,,,,,,,,,,,,,0.35,1950.4312593059992,"['Client Project', 'Platform Payout', 'Freelance Task']",7.0,0.28571428571428575,0.06999999999999999,[],0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c9d8bc49-e950-46a3-b641-75e5b85f594d,Qasim Verma,rachita42@example.com,XOVL4911320971285,Daily Wage Laborer,Very_High,0.867,Lower,Saver,Informal_Labor,Not_Verified,"Cash_Deposit, Wages",4634-9930,Daily,Near_Zero,False,[],False,N/A,False,[],N/A,Prepaid,0.48,0.26,High,"['Cash', 'UPI']",Irregular,None,N/A,,,,,,,,,0.105,,,,,,,,0.695160979007842,,,,,,,0.03,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.765,277.7617330599995,0.08,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3b78d98-510e-4faf-97a7-624269c2f8ab,Warinder Iyer,qadim36@example.net,TQZH2389919452860,Salaried Professional,Low,0.1403,Lower_Middle,Saver,Salaried,EPFO_Verified,Salary,37704-75409,Fixed_Date,High,True,"['FD', 'SIP', 'LIC']",True,ALWAYS_ON_TIME,True,"['Health', 'Life']",ALWAYS_ON_TIME,Postpaid,0.91,0.86,Low,"['Netbanking', 'Mobile_Banking']",Structured_Daytime,Medium,Medium,,,,,,,,,,,,,,,1.0,38972.97747731455,,0.25,0.18,0.05,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.105,0.35,0.48999999999999994,3.0,True,[],0.8,0.15,0.25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e3918cc-6de2-42a4-bf6f-7fc47258ff69,Krish Mahajan,fariqcomar@example.net,TICV6401677285665,Small Business Owner,High,0.625,Middle,Over_Spender,Self-Employed,Udyam_Registered,Business_Sales,55590-222361,Erratic_High_Volume,Low,True,['Business_Reinvestment'],False,Mostly_On_Time,True,['Business_Insurance'],Mostly_On_Time,Postpaid,0.83,0.91,Low,"['UPI_for_Business', 'Netbanking']",Structured_Daytime,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.776868158044339,16.0,538.3597909521866,3.0,"[9161.380339314208, 14981.306193371605, 11009.087327898373]",15.0,28033.08088349757,7057.82698006122,16580.925754087257,5723.618972667478,18155.978223559054,2642.385453206938,0.05,"[1, 5]",0.03,[],[],[],0.12,0.06,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5ce7099-775a-45c4-ae3a-fa27df5a27b2,Advaith Karan,nagyridhi@example.com,MFCT5870284181740,Student,High,0.663,Lower,Saver,Not_Applicable,Not_Applicable,Allowance,1814-6047,Irregular,Very_Low,False,[],False,N/A,False,[],N/A,Prepaid,0.84,0.51,Medium,"['UPI', 'Wallets']",Late_Night_Activity,High,Low,,,,,,,,,0.175,,,,"[3, 10, 11]",,,,,,,,0.5249999999999999,,,0.08,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,2185.816796477209,[16],0.05,[],[],0.15,0.18,"[4, 10, 11]",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d038ffd4-4a90-4ec1-b0ce-8548fe0d3ed6,Lila Majumdar,tanmayi99@example.net,JUAC6253602850781,Government Employee,Very_Low,0.0425,Middle,Saver,Salaried,GOVT_Verified,Government_Salary,39848-79696,Fixed_Date,High,True,"['FD', 'SIP', 'LIC']",True,ALWAYS_ON_TIME,True,"['LIC', 'Government_Schemes']",ALWAYS_ON_TIME,Postpaid,0.97,0.97,Low,['Netbanking'],Structured_Daytime,Low,Medium,,,,,,,,,,,,,,,1.0,46082.44886803594,0.24,0.3,0.12,0.08,,0.08,0.12,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.034999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
